id,battery_power,blue,clock_speed,dual_sim,fc_megapixel,four_g,int_memory,m_depth,mobile_wt,n_cores,pc_megapixel,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,mobile_wt_zscore,ram_zscore,new mobile_wt,new ram,,,,
1,842,0,2.2,0,1,0,7,0.6,188,2,2,20,756,2549,9,7,19,0,0,1,1,1.350952369,0.060764393,188,2549,,,,
3,563,1,0.5,1,2,1,41,0.9,165,5,6,1263,1716,2603,11,2,9,1,1,0,2,0.700755312,0.071272186,165,2603,,,,
4,615,1,2.5,0,0,0,10,0.8,131,6,9,1216,1786,2769,16,8,11,1,0,0,2,-0.260405555,0.103573917,131,2769,,,,
6,1859,0,0.5,1,3,0,22,0.7,164,1,7,1004,1654,1067,17,1,10,1,0,0,1,0.672485875,-0.227616126,164,1067,,,,
7,1821,0,1.7,0,4,1,10,0.8,139,8,10,381,1018,3220,13,8,18,1,0,1,3,-0.034250057,0.191333441,139,3220,,,,
8,1954,0,0.5,1,0,0,24,0.8,187,4,0,512,1149,700,16,3,5,1,1,1,0,1.322682931,-0.299030195,187,700,,,,
9,1445,1,0.5,0,0,0,53,0.7,174,7,14,386,836,1099,17,1,20,1,0,0,0,0.955180247,-0.221389286,174,1099,,,mobile_wt,ram
10,509,1,0.6,1,2,1,9,0.1,93,5,15,1137,1224,513,19,10,12,1,0,0,0,-1.334644171,-0.33541829,93,513,,mean,140.2115578,2236.729146
11,769,1,2.9,1,0,0,9,0.1,182,5,1,248,874,3946,5,2,7,0,0,0,3,1.181335745,0.332604869,182,3946,,stdev,35.37389128,5139.043392
12,1520,1,2.2,0,5,1,33,0.5,177,8,18,151,1005,3826,14,9,13,1,1,1,3,1.039988559,0.30925422,177,3826,,,,
13,1815,0,2.8,0,2,0,33,0.6,159,4,17,607,748,1482,18,0,2,1,0,0,1,0.531138688,-0.146861797,159,1482,,new mean,,2124.128205
14,803,1,2.1,0,7,0,17,1,198,4,11,344,1440,2680,7,1,4,1,0,1,2,1.633646741,0.086255519,198,2680,,,,
15,1866,0,0.5,0,13,1,52,0.7,185,1,17,356,563,373,14,9,3,1,0,1,0,1.266144057,-0.362660714,185,373,,,,
16,775,0,1,0,3,0,46,0.7,159,2,16,862,1864,568,17,15,11,1,1,1,0,0.531138688,-0.324715909,159,568,,,,
17,838,0,0.5,0,1,1,13,0.1,165,8,4,984,1850,3554,10,9,19,1,0,1,3,0.700755312,0.256326081,165,3554,,,,
18,595,0,0.9,1,7,1,23,0.1,121,3,17,441,810,3752,10,2,18,1,1,0,3,-0.543099928,0.294854653,121,3752,,,,
19,1131,1,0.5,1,11,0,49,0.6,101,5,18,658,878,1835,19,13,16,1,1,0,1,-1.108488673,-0.07817197,101,1835,,,,
20,682,1,0.5,0,4,0,19,1,121,4,11,902,1064,2337,11,1,18,0,1,1,1,-0.543099928,0.01951158,121,2337,,,,
21,772,0,1.1,1,12,0,39,0.8,81,7,14,1314,1854,2819,17,15,3,1,1,0,3,-1.673877418,0.113303354,81,2819,,,,
22,1709,1,2.1,0,1,0,13,1,156,2,2,974,1385,3283,17,1,15,1,0,0,3,0.446330376,0.203592532,156,3283,,,,
23,1949,0,2.6,1,4,0,47,0.3,199,4,7,407,822,1433,11,5,20,0,0,1,1,1.661916179,-0.156396645,199,1433,,,,
24,1602,1,2.8,1,4,1,38,0.7,114,3,20,466,788,1037,8,7,20,1,0,0,0,-0.740985988,-0.233453788,114,1037,,,,
25,503,0,1.2,1,5,1,8,0.4,111,3,13,201,1245,2583,11,0,12,1,0,0,1,-0.8257943,0.067380411,111,2583,,,,
26,961,1,1.4,1,0,1,57,0.6,114,8,3,291,1434,2782,18,9,7,1,1,1,2,-0.740985988,0.106103571,114,2782,,,,
27,519,1,1.6,1,7,1,51,0.3,132,4,19,550,645,3763,16,1,4,1,0,1,3,-0.232136118,0.296995129,132,3763,,,,
28,956,0,0.5,0,1,1,41,1,143,7,6,511,1075,3286,17,8,12,1,1,0,3,0.078827692,0.204176298,143,3286,,,,
29,1453,0,1.6,1,12,1,52,0.3,96,2,18,187,1311,2373,10,1,10,1,1,1,2,-1.249835859,0.026516774,96,2373,,,,
30,851,0,0.5,0,3,0,21,0.4,200,5,7,1171,1263,478,12,7,10,1,0,1,0,1.690185616,-0.342228896,200,478,,,,
31,1579,1,0.5,1,0,0,5,0.2,88,7,9,1358,1739,3532,17,11,12,0,0,1,3,-1.475991357,0.252045129,88,3532,,,,
32,1568,1,0.5,0,16,0,33,1,150,8,20,413,654,508,5,1,6,1,1,1,0,0.276713753,-0.336391234,150,508,,,,
33,1319,1,0.9,0,3,1,41,0.9,107,1,18,85,1152,2227,18,5,3,1,1,1,1,-0.938872049,-0.001893182,107,2227,,,,
34,1310,1,2.2,1,0,1,51,0.6,100,4,0,178,1919,3845,7,0,12,1,1,0,3,-1.13675811,0.312951406,100,3845,,,,
35,644,1,2.7,0,0,0,22,0.7,157,8,3,311,881,1262,12,1,15,1,0,0,0,0.474599814,-0.18967132,157,1262,,,,
36,725,0,1.3,1,16,0,60,0.4,160,8,17,1134,1249,1326,10,4,15,1,0,0,1,0.559408125,-0.177217641,160,1326,,,,
37,589,1,2.3,1,1,0,61,0.6,160,4,10,429,815,2113,13,7,2,1,0,1,1,0.559408125,-0.024076299,160,2113,,,,
38,1725,1,1.6,1,6,1,6,0.5,119,2,18,609,1307,3429,6,5,4,1,1,0,3,-0.599638802,0.232002488,119,3429,,,,
39,790,0,2,1,16,1,11,0.3,87,6,17,347,730,3169,6,1,2,1,0,1,2,-1.504260794,0.181409415,87,3169,,,,
40,560,0,0.5,1,15,0,50,0.3,159,2,20,1448,1613,2150,18,12,11,1,1,0,2,0.531138688,-0.016876516,159,2150,,,,
41,1347,0,2.9,0,5,0,44,0.6,132,1,14,434,967,2484,18,2,11,1,0,1,2,-0.232136118,0.048116125,132,2484,,,,
42,1646,1,2.3,0,8,1,41,0.2,185,2,10,1725,1932,3339,18,10,19,1,1,0,3,1.266144057,0.214489501,185,3339,,,,
43,1253,1,0.5,1,5,1,5,0.2,152,2,19,685,714,1878,15,0,4,1,1,0,1,0.333252627,-0.069804654,152,1878,,,,
44,1656,0,1,0,5,1,34,0.1,166,3,7,880,1456,1629,15,12,14,1,1,0,1,0.729024749,-0.118257251,166,1629,,,,
45,1195,1,2.8,0,1,1,20,0.8,110,2,14,1580,1652,504,9,3,12,1,1,0,0,-0.854063737,-0.337169588,110,504,,,,
46,1514,0,2.9,0,0,0,27,0.2,118,3,1,186,1810,1152,8,3,20,0,1,1,1,-0.627908239,-0.211076082,118,1152,,,,
47,1723,1,1.1,1,1,0,42,1,164,8,14,202,1791,3587,10,5,3,1,0,0,3,0.672485875,0.26274751,164,3587,,,,
48,1054,1,1.8,1,3,1,40,0.8,196,7,10,27,774,2296,16,12,12,1,0,1,1,1.577107867,0.011533441,196,2296,,,,
49,578,1,2.6,1,2,1,57,0.2,162,8,8,1025,1433,1270,15,3,5,1,0,1,0,0.615947,-0.18811461,162,1270,,,,
50,596,0,2.1,1,9,0,64,0.8,111,8,15,885,1854,3238,16,13,10,0,0,0,3,-0.8257943,0.194836038,111,3238,,,,
51,1547,1,3,1,2,1,14,0.7,198,3,19,1042,1832,2059,5,0,15,1,0,1,2,1.633646741,-0.034584091,198,2059,,,,
52,1760,0,1.4,1,5,0,63,0.8,127,8,19,1382,1383,2053,19,12,16,0,1,0,2,-0.373483304,-0.035751624,127,2053,,,,
53,1654,1,1.5,1,0,1,43,0.3,109,2,0,546,629,3112,12,5,10,1,1,0,3,-0.882333175,0.170317856,109,3112,,,,
54,1457,0,1.9,1,1,1,16,0.3,102,3,10,1013,1287,1440,17,8,12,1,0,1,1,-1.080219235,-0.155034524,102,1440,,,,
55,1073,1,0.5,1,0,0,51,0.5,145,7,0,690,804,2908,6,0,18,0,1,0,2,0.135366567,0.130621753,145,2908,,,,
56,1936,0,2.1,1,10,1,46,0.6,104,3,20,667,1036,2552,14,7,13,1,0,0,2,-1.023680361,0.06134816,104,2552,,,,
57,823,1,2.7,1,13,0,60,0.5,148,8,19,822,1449,905,14,11,17,1,1,1,0,0.220174878,-0.259139502,148,905,,,,
58,987,0,1.3,1,0,1,61,0.4,107,3,9,581,820,3963,9,4,20,1,0,1,3,-0.938872049,0.335912878,107,3963,,,,
59,1757,0,0.5,0,8,0,49,0.5,180,6,14,265,713,2056,7,5,4,0,0,0,1,1.124796871,-0.035167858,180,2056,,,,
60,1063,0,1.4,1,2,1,48,1,128,5,4,127,683,2910,15,13,9,1,1,1,2,-0.345213867,0.13101093,128,2910,,,,
61,1484,0,3,0,3,0,12,0.6,134,3,5,916,969,1457,14,4,20,1,1,0,1,-0.175597243,-0.151726515,134,1457,,,,
62,799,1,2.3,0,1,1,63,0.8,144,8,6,361,975,431,15,6,6,1,1,1,0,0.107097129,-0.351374567,144,431,,,,
63,1156,1,1.2,1,0,1,50,0.8,159,2,0,322,547,470,7,0,15,1,1,0,0,0.531138688,-0.343785606,159,470,,,,
64,1720,0,2,0,15,1,55,0.5,168,2,18,753,1353,2148,14,2,5,1,1,1,2,0.785563624,-0.017265693,168,2148,,,,
65,702,0,2.6,1,2,1,9,0.7,141,3,3,504,1570,2955,10,4,19,1,0,0,2,0.022288818,0.139767424,141,2955,,,,
